"250011871","lanagpjp","","","Hampson Lane","","","","Hampson Lane","","Preston Lancaster Road","","","","opp","","S","E0015971","Hampson Green","","","Lancaster","","Hampson Green","","1","U",348624,454026,-2.7848661047,53.9797267468,"BCT","MKD","TIP","","","","087","2006-08-24T00:00:00","2010-05-10T09:55:00",1,"rev","act"
"250011691","lanagmdt","","","Plough Hotel","","","","Plough Hotel","","Preston Lancaster Road","","","","o/s","","N","E0015962","Galgate","","","Lancaster","","Galgate","","0","U",348294,455059,-2.7900731254,53.9889771538,"BCT","MKD","TIP","","","","087","2006-08-24T00:00:00","2010-05-10T09:54:00",1,"rev","act"
"250011692","lanagmdw","","","Police Station","","","","Police Station","","Preston Lancaster Road","","","","opp","","N","E0015962","Galgate","","","Lancaster","","Galgate","","1","U",348352,455672,-2.7892928550,53.9944918805,"BCT","MKD","TIP","","","","087","2006-08-24T00:00:00","2016-05-09T15:07:00",3,"rev","act"
"250011769","lanagmtm","","","Village Centre","","","","Church","","Silverhill","","","","o/s","","NW","E0047433","Gressingham","","","Lancaster","","Gressingham","","0","U",357011,470013,-2.6592635246,54.1241689493,"BCT","CUS","TIP","","","","087","2006-03-03T00:00:00","2012-04-18T14:24:00",2,"rev","act"
"250011770","lanagmtw","","","High Snab","","","","High Snab","","Aughton Road","","","","by","","S","E0015960","Eskrigge","","","Lancaster","","Eskrigge","","0","U",355643,468534,-2.6799758188,54.1107609214,"BCT","MKD","TIP","","","","087","2006-08-24T00:00:00","2010-06-17T10:42:00",1,"rev","act"
"250011848","lanagpgd","","","Halton Camp","","","","Carus Lodge","","Halton Road","","","","by","","NE","E0056126","Halton","","","Lancaster","","Halton (Lancs)","","0","U",348770,464360,-2.7843864202,54.0726105415,"BCT","MKD","TIP","","","","087","2006-08-24T00:00:00","2010-06-17T10:46:00",1,"rev","act"
"250011849","lanagpgj","","","Kellet Lane","","","","Carus Park","","Halton Road","","","","opp","","SW","N0078710","Beaumont","Lancaster","","Lancaster","","Beaumont","","0","U",348505,464162,-2.7884019868,54.0708046979,"BCT","MKD","TIP","","","","087","2006-08-24T00:00:00","2012-12-18T13:53:00",2,"rev","act"
"250011850","lanagpgm","","","Shops","","","","High Road","","High Road","","","","opp","","SW","E0056126","Halton","","","Lancaster","","Halton (Lancs)","","1","U",350707,465192,-2.7549239043,54.0802769280,"BCT","MKD","TIP","","","","087","2006-08-24T00:00:00","2012-12-18T14:08:00",2,"rev","act"
"250011851","lanagpgp","","","New Street","","","","Old School","","High Road","","","","opp","","SW","E0056126","Halton","","","Lancaster","","Halton (Lancs)","","0","U",350265,464924,-2.7616349939,54.0778258919,"BCT","MKD","TIP","","","","087","2006-08-24T00:00:00","2012-12-18T14:04:00",2,"rev","act"
"250012507","lanajdtw","","","Albany Road","","","","Albany Road","","Westminster Avenue","","","","by","","W","E0016030","West End","Morecambe","","Lancaster","","West End (Morecambe)","","0","U",342893,463787,-2.8740792210,54.0668420436,"BCT","MKD","TIP","","","","087","2006-08-24T00:00:00","2010-05-06T08:23:00",1,"rev","act"
"250012319","lanajama","","","Carr House","","","","Carr House","","Littledale Road","","","","by","","E","E0015958","Crossgill","","","Lancaster","","Crossgill","","0","U",355073,462117,-2.6877393255,54.0530425396,"BCT","MKD","TIP","","","","087","2006-08-24T00:00:00","2010-06-17T12:56:00",1,"rev","act"
"250012637","lanajgwg","","","Hall","","","","Lane Foot Farm","","Kirkby Lonsdale Road","","","","opp","","S","E0016000","Newton","","","Lancaster","","Newton (Whittington)","","1","U",359747,474631,-2.6180211391,54.1658925618,"BCT","CUS","TIP","","","","087","2006-08-24T00:00:00","2012-12-18T10:34:00",3,"rev","act"
"250012191","lanagwta","","","Greyhound Bridge","","","","Greyhound Bridge","","Greyhound Bridge Road","","","","by","","NW","E0016017","Skerton","Lancaster","","Lancaster","","Skerton","","0","U",347567,462223,-2.8023982177,54.0532847231,"BCT","MKD","TIP","","","","087","2006-08-24T00:00:00","2010-05-06T11:18:00",1,"rev","act"
"250012192","lanagwtd","","","Bentham Road","","","","Hala Hill","","Hala Hill","","","","by","","W","E0015995","Hala","Lancaster","","Lancaster","","Hala","","0","U",348602,459280,-2.7860910380,54.0269411965,"BCT","MKD","TIP","","","","087","2006-08-24T00:00:00","2010-05-06T16:13:00",1,"rev","act"
"250012193","lanagwtg","","","Hala Road","","","","Hala Road","","Hala Road","","","","by","","W","E0015995","Hala","Lancaster","","Lancaster","","Hala","","0","U",348138,459342,-2.7931839466,54.0274518484,"BCT","MKD","TIP","","","","087","2006-08-24T00:00:00","2010-05-06T16:12:00",1,"rev","act"
"250012195","lanagwtj","","","Hall Park","","","","Scotforth Road/Hall Park","","Scotforth Road","","","","by","","N","E0016015","Scotforth","Lancaster","","Lancaster","","Scotforth","","0","U",348059,459697,-2.7944506142,54.0306341784,"BCT","MKD","TIP","","","","087","2006-08-24T00:00:00","2010-05-10T09:02:00",1,"rev","act"
"250012509","lanajdwa","","","Balmoral Road","","","","Balmoral Road","","Balmoral Road","","","","by","","NE","E0016013","Sandylands","Morecambe","","Lancaster","","Sandylands (Morecambe)","","0","U",342184,462988,-2.8847585419,54.0595826246,"BCT","MKD","TIP","","","","087","2006-08-24T00:00:00","2010-05-05T16:16:00",1,"rev","act"
"250012513","lanajdwg","","","Albert Road","","","","Buckingham Road","","Buckingham Road","","","","by","","SW","E0016030","West End","Morecambe","","Lancaster","","West End (Morecambe)","","0","U",343068,463316,-2.8713169514,54.0626288000,"BCT","MKD","TIP","","","","087","2006-08-24T00:00:00","2016-06-22T09:56:00",2,"rev","act"
"250012516","lanajdwj","","","County Garage","","","","County Garage/Lancaster Rd W","","Lancaster Road","","","","by","","NW","E0015996","Morecambe","","","Lancaster","","Morecambe","","0","U",344214,464095,-2.8539538474,54.0697549006,"BCT","MKD","TIP","","","","087","2006-08-24T00:00:00","2010-05-06T09:01:00",1,"rev","act"
"250012519","lanajdwm","","","Fairfield Road","","","","Heysham Road","","Heysham Road","","","","by","","S","E0016013","Sandylands","Morecambe","","Lancaster","","Sandylands (Morecambe)","","0","U",341861,463098,-2.8897135535,54.0605347327,"BCT","MKD","TIP","","","","087","2006-08-24T00:00:00","2010-05-05T16:17:00",1,"rev","act"
"250012521","lanajdwt","","","Rosebery Ave","","","","Lancaster Road School","","Lancaster Road","","","","o/s","","NW","E0015996","Morecambe","","","Lancaster","","Morecambe","","0","U",344544,464013,-2.8488967216,54.0690537006,"BCT","MKD","TIP","","","","087","2006-08-24T00:00:00","2010-05-06T09:00:00",1,"rev","act"
"250012522","lanajgad","","","Sainsburys","","","","Lancaster Road","","Lancaster Road","","","","by","","NW","E0015996","Morecambe","","","Lancaster","","Morecambe","","0","U",344701,463911,-2.8464792978,54.0681539799,"BCT","MKD","TIP","","","","087","2006-08-24T00:00:00","2011-01-10T08:48:00",2,"rev","act"
"250012524","lanajgag","","","Lonsdale Avenue","","","","Lonsdale Avenue","","Bare Lane","","","","opp","","NE","E0016027","Torrisholme","Morecambe","","Lancaster","","Torrisholme","","0","U",345319,463884,-2.8370322942,54.0679774335,"BCT","MKD","TIP","","","","087","2006-08-24T00:00:00","2016-06-22T09:04:00",2,"rev","act"
"250012525","lanajgaj","","","Town Hall","","","","Town Hall","","Promenade","","","","opp","","SW","E0015996","Morecambe","","","Lancaster","","Morecambe","","0","U",343836,464848,-2.8598691876,54.0764806055,"BCT","MKD","TIP","","","","087","2006-08-24T00:00:00","2010-05-06T08:54:00",1,"rev","act"
"250012526","lanajgam","","","Michealson Avenue","","","","Michealson Avenue","","Lancaster Road","","","","by","","W","E0016027","Torrisholme","Morecambe","","Lancaster","","Torrisholme","","0","U",345416,463723,-2.8355212277,54.0665408984,"BCT","MKD","TIP","","","","087","2006-08-24T00:00:00","2010-05-06T10:31:00",1,"rev","act"
"250012530","lanajgap","","","Park Hotel","","","","Regent Park","","Regent Road","","","","by","","SE","E0016030","West End","Morecambe","","Lancaster","","West End (Morecambe)","","0","U",342754,463450,-2.8761390760,54.0637981390,"BCT","MKD","TIP","","","","087","2006-08-24T00:00:00","2010-05-06T08:18:00",1,"rev","act"
"250012477","lanajdpd","","","Station Cottages","","","","Station","","Melling Road","","","","by","","SW","E0047439","Melling","","","Lancaster","","Melling-with-Wrayton","","0","U",360084,471631,-2.6124616062,54.1389582291,"BCT","CUS","TIP","","","","087","2006-08-24T00:00:00","2016-06-20T10:29:00",2,"rev","act"
"250012550","lanajgjg","","","Carleton Street","","","","Woodhill Lane","","Woodhill Lane","","","","opp","","N","E0015996","Morecambe","","","Lancaster","","Morecambe","","0","U",343319,463821,-2.8675772010,54.0671947152,"BCT","MKD","TIP","","","","087","2006-08-24T00:00:00","2016-06-22T10:02:00",2,"rev","act"
"250012710","lanajmgd","","","Church Bank","","","","Church Bank","","Church Bank","","","","o/s","","N","E0047442","Over Kellet","","","Lancaster","","Over Kellet","","0","U",352392,469809,-2.7298999296,54.1219277243,"BCT","CUS","TIP","","","","087","2006-08-24T00:00:00","2011-01-13T10:57:00",2,"rev","act"
"250012531","lanajgat","","","Yorkshire Street East","","","","Marine Rd West/Regent Road","","Regent Road","","","","by","","SE","E0016030","West End","Morecambe","","Lancaster","","West End","","0","U",342484,463699,-2.8803111382,54.0660056522,"BCT","MKD","TIP","","","","087","2006-08-24T00:00:00","2016-06-22T10:07:00",2,"rev","act"
"250012170","lanagwpa","","","Boot and Shoe","","","","Boot & Shoe","","Scotforth Road","","","","by","","S","E0016015","Scotforth","Lancaster","","Lancaster","","Scotforth","","0","U",348010,459324,-2.7951346207,54.0272771786,"BCT","MKD","TIP","","","","087","2006-08-24T00:00:00","2010-05-10T09:03:00",1,"rev","act"
"250012178","lanagwpd","","","Carlisle Bridge","","","","Carlisle Bridge/Morecambe Rd","","Morecambe Road","","","","by","","E","N0078705","Ryelands","Lancaster","","Lancaster","","Ryelands","","0","U",347069,462528,-2.8100575976,54.0559746572,"BCT","MKD","TIP","","","","087","2006-08-24T00:00:00","2010-05-06T10:38:00",1,"rev","act"
